filename,complaint,request
train_0001.wav,no,presta
train_0002.wav,no,affil
train_0003.wav,no,presta
train_0004.wav,yes,presta
train_0005.wav,no,presta
train_0006.wav,no,presta
train_0007.wav,yes,presta
train_0008.wav,yes,presta
train_0009.wav,no,presta
train_0010.wav,no,affil
train_0011.wav,no,affil
train_0012.wav,no,affil
train_0013.wav,yes,presta
train_0014.wav,yes,affil
train_0015.wav,no,presta
train_0016.wav,no,presta
train_0017.wav,no,affil
train_0018.wav,no,affil
train_0019.wav,no,presta
train_0020.wav,no,affil
train_0021.wav,no,presta
train_0022.wav,no,presta
train_0023.wav,no,presta
train_0024.wav,no,presta
train_0025.wav,no,affil
train_0026.wav,no,affil
train_0027.wav,no,affil
train_0028.wav,yes,presta
train_0029.wav,no,presta    
train_0030.wav,no,presta
train_0031.wav,no,affil
train_0032.wav,no,presta
train_0033.wav,no,presta
train_0034.wav,yes,presta
train_0035.wav,yes,presta
train_0036.wav,no,affil
train_0037.wav,yes,presta
train_0038.wav,yes,affil
train_0039.wav,no,affil
train_0040.wav,no,presta
train_0041.wav,yes,presta
train_0042.wav,yes,presta
train_0043.wav,no,affil
train_0044.wav,yes,presta
train_0045.wav,no,presta
train_0046.wav,no,presta
train_0047.wav,yes,affil
train_0048.wav,no,presta
train_0049.wav,yes,affil
train_0050.wav,no,affil
train_0051.wav,no,presta
train_0052.wav,no,affil
train_0053.wav,yes,presta
train_0054.wav,no,affil
train_0055.wav,yes,presta
train_0056.wav,no,affil
train_0057.wav,no,affil
train_0058.wav,no,presta
train_0059.wav,no,affil
train_0060.wav,no,presta
train_0061.wav,yes,affil
train_0062.wav,yes,presta
train_0063.wav,yes,presta
train_0064.wav,yes,affil
train_0065.wav,yes,affil
train_0066.wav,yes,affil
train_0067.wav,no,affil
train_0068.wav,yes,presta
train_0069.wav,no,affil
train_0070.wav,no,presta
train_0071.wav,yes,affil
train_0072.wav,no,affil
train_0073.wav,no,affil
train_0074.wav,no,presta
train_0075.wav,yes,presta
train_0076.wav,no,presta
train_0077.wav,no,presta
train_0078.wav,no,presta
train_0079.wav,yes,presta
train_0080.wav,no,presta
train_0081.wav,no,affil
train_0082.wav,yes,affil
train_0083.wav,no,presta
train_0084.wav,yes,affil
train_0085.wav,no,presta
train_0086.wav,yes,affil
train_0087.wav,no,presta
train_0088.wav,no,affil
train_0089.wav,no,presta
train_0090.wav,no,affil
train_0091.wav,yes,presta
train_0092.wav,yes,affil
train_0093.wav,no,presta
train_0094.wav,yes,affil
train_0095.wav,yes,affil
